measure,71200 BLACK,71200 DK. BROWN,7611 BLACK,7611 HONEY,7611 SHEDRON,7627 LT BROWN,7627 WINE,7650 BLACK,7650 HONEY,7650 SHEDRON,1022 BLACK,1022 LT. BROWN,1022S LT. BROWN,1033 BLACK,1033 DK. BROWN,1033S BLACK,7650 DK. BROWN,7850 BLACK,7850 DK. BROWN,7850 HONEY,7850 LT BROWN,7850 SHEDRON,7811 BLACK,7811 HONEY,7811 SHEDRON,7827 LT.BROWN,7827 WINE,7832 BLACK,7832 HONEY,7832A BROWN,7832A SHEDRON,7833 WINE,7833S WINE,7822 LT. BROWN,7611 BROWN,7811 BROWN,7632 BROWN,7615 DK. BROWN,7815 DK. BROWN
5,844787028778,844787028952,844787027511,844787030214,844787030399,844787047991,844787048806,844787067999,844787044341,844787047847,844787001085,844787001269,844787002525,844787002884,844787003065,844787053558,844787943576,844787026255,844787049407,844787026071,844787049551,844787068293,844787027696,844787027337,844787027153,844787048653,844787048509,844787026972,844787026613,844787041791,844787046284,844787051455,844787068149,844787071880,810138394960,810138396483,844787051752,810138397671,844787081247
5.5,844787028785,844787028969,844787027528,844787030221,844787030405,844787048004,844787048813,844787068002,844787044358,844787047854,844787001092,844787001276,844787002532,844787002891,844787003072,844787053565,844787943644,844787026262,844787049414,844787026088,844787049568,844787068309,844787027702,844787027344,844787027160,844787048660,844787048516,844787026989,844787026620,844787041807,844787046291,844787051462,844787068156,844787071897,810138394977,810138396490,844787051769,810138397688,844787081254
6,844787028792,844787028976,844787027535,844787030238,844787030412,844787048011,844787048820,844787068019,844787044365,844787047861,844787001108,844787001283,844787002549,844787002907,844787003089,844787053572,844787943712,844787026279,844787049421,844787026095,844787049575,844787068316,844787027719,844787027351,844787027177,844787048677,844787048523,844787026996,844787026637,844787041814,844787046307,844787051479,844787068163,844787071903,810138394991,810138396506,844787051776,810138397695,844787081261
6.5,844787028808,844787028983,844787027542,844787030245,844787030429,844787048028,844787048837,844787068026,844787044372,844787047878,844787001115,844787001290,844787002556,844787002914,844787003096,844787053589,844787943880,844787026286,844787049438,844787026101,844787049582,844787068323,844787027726,844787027368,844787027184,844787048684,844787048530,844787027009,844787026644,844787041821,844787046314,844787051486,844787068170,844787071910,810138395004,810138396513,844787051783,810138397701,844787081278
7,844787028815,844787028990,844787027559,844787030252,844787030436,844787048035,844787048844,844787068033,844787044389,844787047885,844787001122,844787001306,844787002563,844787002921,844787003102,844787053596,844787943958,844787026293,844787049445,844787026118,844787049599,844787068330,844787027733,844787027375,844787027191,844787048691,844787048547,844787027016,844787026651,844787041838,844787046321,844787051493,844787068187,844787071927,810138395011,810138396520,844787051790,810138397718,844787081285
7.5,844787028822,844787029003,844787027566,844787030269,844787030443,844787048042,844787048851,844787068040,844787044396,844787047892,844787001139,844787001313,844787002570,844787002938,844787003119,844787053602,844787944016,844787026309,844787049452,844787026125,844787049605,844787068347,844787027740,844787027382,844787027207,844787048707,844787048554,844787027023,844787026668,844787041845,844787046338,844787051509,844787068194,844787071934,810138395028,810138396537,844787051806,810138397725,844787081292
8,844787028839,844787029010,844787027573,844787030276,844787030450,844787048059,844787048868,844787068057,844787044402,844787047908,844787001146,844787001320,844787002587,844787002945,844787003126,844787053619,844787944184,844787026316,844787049469,844787026132,844787049612,844787068354,844787027757,844787027399,844787027214,844787048714,844787048561,844787027030,844787026675,844787041852,844787046345,844787051516,844787068200,844787071941,810138395035,810138396544,844787051813,810138397732,844787081308
8.5,844787028846,844787029027,844787027580,844787030283,844787030467,844787048066,844787048875,844787068064,844787044419,844787047915,844787001153,844787001337,844787002594,844787002952,844787003133,844787053626,844787944252,844787026323,844787049476,844787026149,844787049629,844787068361,844787027764,844787027405,844787027221,844787048721,844787048578,844787027047,844787026682,844787041869,844787046352,844787051523,844787068217,844787071958,810138395059,810138396551,844787051820,810138397749,844787081315
9,844787028853,844787029034,844787027597,844787030290,844787030474,844787048073,844787048882,844787068071,844787044426,844787047922,844787001160,844787001344,844787002600,844787002969,844787003140,844787053633,844787944320,844787026330,844787049483,844787026156,844787049636,844787068378,844787027771,844787027412,844787027238,844787048738,844787048585,844787027054,844787026699,844787041876,844787046369,844787051530,844787068224,844787071965,810138395066,810138396568,844787051837,810138397756,844787081322
9.5,844787028860,844787029041,844787027603,844787030306,844787030481,844787048080,844787048899,844787068088,844787044433,844787047939,844787001177,844787001351,844787002617,844787002976,844787003157,844787053640,844787944498,844787026347,844787049490,844787026163,844787049643,844787068385,844787027788,844787027429,844787027245,844787048745,844787048592,844787027061,844787026705,844787041883,844787046376,844787051547,844787068231,844787071972,810138395073,810138396575,844787051844,810138397763,844787081339
